From Type,From Place,From Name,Edge Type,To Type,To Place,To Name,Date,Weight,Identifier,
Person,Achmor,Breadalbane,Letter,Person,,Carwhin,1690 Dec,1,NRS - Breadalbane Correspondence,
Person,,Breadalbane,Letter,Person,,Atholl,undated,1,NRS - Breadalbane Correspondence,
Person,Balloch,John Campbell of Invergeldie,Letter,Person,,Breadalbane,"1688, Dec 3",1,"NRS - Papers of the family of Campbell of Balliveolan, Argyll",
Person,,Breadalbane,Letter,Person,,Alexander Campbell of Barcaldine,"1692, May 26",1,NRS - Papers of the Mackay family of Bighouse,
Person,,Breadalbane,Representation,Person,,Unknown,1692,1,NRS - Yule Collection,
Person,,Carwhin,Letter,Person,,Breadalbane,"1688, Jan 4",1,NRS - Breadalbane Correspondence,
Person,Balloch,Breadalbane,Letter,Person,Edinburgh,Mr. Hamilton,"1688, Jan 9",1,NRS - Breadalbane Correspondence,
Person,Edinburgh,Carwhin,Letter,Person,,Breadalbane,"1688, Feb 11",1,NRS - Breadalbane Correspondence,
Person,Edinburgh,Carwhin,Letter,Person,,Breadalbane,"1688, Feb 16",1,NRS - Breadalbane Correspondence,
Person,Balloch,Breadalbane,Letter,Person,Glenurchy,Duncan Campbell,"1688, Mar 16",2,NRS - Breadalbane Correspondence,
Person,London,John Campbell of Mamore,Letter,Person,,Breadalbane,"1688, Mar 17",1,NRS - Breadalbane Correspondence,
Person,Balloch,Breadalbane,Letter,Person,Glenurchy,Duncan Campbell,"1688, Mar 20",1,NRS - Breadalbane Correspondence,
Person,Wellbeck,Newcastle,Letter,Person,,Breadalbane,"1688, April 24",1,NRS - Breadalbane Correspondence,
Person,Edinburgh,David Forbes,Letter,Person,,Breadalbane,"1688, April 30",1,NRS - Breadalbane Correspondence,
Person,Edinburgh,Archbishop of St. Andrews,Letter,Person,,Breadalbane,"1688, May 3",1,NRS - Breadalbane Correspondence,
Person,,Atholl ,Letter,Person,,Breadalbane,"1688, May 3",1,NRS - Breadalbane Correspondence,
Person,Castle Ackergill,Glenorchy,Letter,Person,,Breadalbane,"1688, May 4",1,NRS - Breadalbane Correspondence,
