"Node Type","Name","Description","Reference","Image","Node Type ID","Node ID"
"Person","Allan McDonald",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","c4b59ec5-f87d-47c8-9234-36e9d97f6b6f"
"Person","Pittarro",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","139bb360-0340-42c2-b8b7-aef75df0fa03"
"Person","James St. Clair",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ebd2f872-ec6e-40d3-b30a-2fd8b19775b1"
"Person","Feversham",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","1842c193-d4b4-4acf-a4ae-f74345bd82ec"
"Person","Captain George Rooke",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9f16d11f-84e7-462d-9869-72741bc8f9bb"
"Person","Dugal Campbell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","77b2f77c-3ee8-4312-8054-fd463f01f82c"
"Person","Alexander Canon",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","e5033057-25b0-4c8e-9b8e-0807df959bd1"
"Person","Count Leslie",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","b94b8ed9-fb9e-44f2-a5af-a0fdd07ec2ed"
"Person","Saltoun",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","dc5dc783-0922-4e8c-be5d-3af3ade4e78c"
"Person","Swinton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","efb39140-a8ed-4502-a87f-bd7b53b2c814"
"Person","John Campbell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9fd53b17-bced-424b-9817-0d9597433278"
"Person","Cap. Robert McKay",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","adb4395f-82b8-41ce-a7d4-05d9a37a1c0a"
"Person","Lieutenant Colonel Hamilton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","730c42f0-65e7-40b4-966f-9fe728d2247c"
"Person","Stevenston",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","f1a424a1-7032-4ac4-9888-197bfd70dc54"
"Person","Thomas Wilson",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","4d9845c5-8548-4b79-8d67-1ceac681699f"
"Person","John Macky",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","709b4213-c057-49bc-97ce-da49d358a8cb"
"Person","Mackay",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ccb46484-a60b-4069-b490-da0a66f93e59"
"Person","Carmichael",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","67e94cdf-6f97-48b3-bb02-5d44f8c6f789"
"Person","Mr. Milton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","0a1c8b4c-e469-40e9-8811-724994fa7826"
"Person","Tweeddale",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6b1cd620-d946-43a4-b0d4-04d57bdcdbd7"
"Person","Lady Polwarth",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","bd580b36-25c5-4cd2-81f6-58a174fceb72"
"Person","George Brown",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","5182a0b0-e3ad-4c11-a856-76072421d3f4"
"Person","John Naismith",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","b1448e88-a208-40be-973f-e3b30b8adc69"
